section,no,parameter,requirement,Hopewind,Hoymiles,Delta,"FIMER
(PVS980-58BC, 2500 kVA)","Newen
(CPS 1500/3000_260817-R0)","Sineng
(EH-1250-HC-UD / EH-1725-HB-UD)","Inovance
(IES920-07-2500-C-D-EU)",ENERZOLVE,"Sifang
(CSD-5831, 2500 kVA)"
Grid-Forming,46,Islanding / microgrid,Seamless,Complied,Seamless not available while switcing mode between two modes,Can be discussed during detailed engg.,Not specified in datasheet,160~300ms,complied,Complied,Compliant — On/off-grid (GFL/GFM) operation supported; seamless microgrid transition to be confirmed by test.,Yes – grid-connected and island modes; stable voltage/frequency in island mode
Grid-Forming,47,Fault current contribution,"Defined, sustained",,Max 8000A,as per CEA guideline,Max AC short circuit current 66 kA (1 s RMS),"• Stady-state short circuit current (rms) (Iₖ):
In 9-12ms the inverter current becomes zero.
Therefore, Iₖ ≈ Zero (negligible).
• Initial short circuit current (rms)(Iₖ""):
RMS value of first 20ms Iₖ"" = 2595A for CPS 3 MW.
• Peak short circuit current (Iₚ) = 18.3kA for CPS 3 MW.Stady-state short circuit current (rms) (Iₖ):
In 9-12ms the inverter current becomes zero.
Therefore, Iₖ ≈ Zero (negligible).
• Initial short circuit current (rms)(Iₖ""):
RMS value of first 20ms Iₖ"" = 2595A for CPS 3 MW.
• Peak short circuit current (Iₚ) = 18.3kA for CPS 3 MW.",complied,Ik=2.3kA,Compliant,AC-side short-circuit capacity 55 kA; DC-side 250 kA. Fault-current injection waveform not stated
Grid-Following,48,Current-source control,Mandatory,Complied,Complied,Complied,Yes,Yes,complied,Complied,Compliant — Grid-following current-source control supported.,PQ/grid-connected current control supported; exact current-source mode terminology not stated
Grid-Following,49,PLL robustness,Weak-grid capable (SCR ≥ 1.5),Complied,Complied,complied,Not specified in datasheet,SCR 3,complied,Complied,Compliant — Weak-grid capability (SCR >= 1.5),PSSE PLL model included; T_PLLANG example 0.01 s; SCR value not stated
Grid-Following,50,LVRT / HVRT,Full ride-through,Complied,Complied as per CEA,Complied,LVRT & HVRT,Yes,complied,Complied,Compliant — LVRT/HVRT full ride-through per IEEE 1547 / UL 1741 SA.,Yes – LVRT/HVRT functions and PSSE/PSCAD/HIL benchmark
Grid-Following,51,Frequency response,P(f) droop configurable,Complied,Complied,Complied,FqRT / power reduction,Yes,complied,Complied,Compliant — P(f) droop configurable (UL 1741 SA).,Primary frequency control demonstrated; 50.4 Hz → -0.2 pu P and 49.6 Hz → +0.2 pu P; 50.05/49.96 Hz deadband in benchmark
Grid-Following,52,Volt-VAr / Volt-Watt,Configurable curves,,Complied,Complied,Reactive power compensation,Yes,complied,Complied,Compliant — Volt-VAr / Volt-Watt configurable curves (UL 1741 SA).,Q(U) droop / Volt-VAr control supported in PSSE model
Grid-Code Functions,53,Fault ride-through,LVRT & HVRT curves,Complied,Complied as per CEA,Complied,"LVRT, HVRT, FRT with current feed-in",Yes,complied,Complied with CEA,Compliant — LVRT & HVRT ride-through per IEEE 1547 / UL 1741 SA.,Yes – LVRT/HVRT/FRT benchmarked
Grid-Code Functions,54,Reactive support,Q at zero P capability,Complied,Complied,Complied,Reactive power at night with DC disconnected,100% - Four quadrant,complied,2612 kVar,Compliant — PQ curve shows full reactive capability at zero active power.,±100% reactive power range; Q(U) droop
Grid-Code Functions,55,Frequency response,FFR / droop,Complied,Complied,Complied,FqRT / droop,"Yes, aligned with IEEE 2800-2022 recommendations",complied,Complied,Compliant — FFR / frequency droop supported (UL 1741 SA).,Yes – primary frequency control
Grid-Code Functions,56,Ramp-rate control,Configurable,Complied,Complied,Complied,Power reduction / active power limitation,Yes,complied,"full-load charge/
discharge switchover within 30 ms",Compliant — Configurable ramp-rate control via EMS.,PSSE model example 5 pu/s; benchmark tested at 0.1 pu/s
Grid Code,57,India,CEA / CERC connectivity regs,CEA,Complied as per CEA,Complied,IEC & CEA (India),CEA 2022 latest regulation,complied as per Latest CEA guidelines,Complied with CEA,To be confirm after the compliance the test,CEA certification available
International Standards,58,Inverter design/test,IEC 62109-1/-2,Complied,Not applicable for BESS PCS,Complied with equivalent standard IEC 62477,Not specified (IEC 62477-1 declared),IEC 62909-1&2,complied as per IEC62477-1,Complied,To be confirm after the compliance the test,IEC 62477-1 certified
International Standards,59,Grid interconnection,"IEC 62477, IEEE 1547",coomplied,Complied as per IEC62477-1,Complied,IEC 62477-1,"IEC 62477-1, IEC 61727 & IEC 62116",complied as per IEC 62477,Complied with IEC 62477.Will provide IEEE 1547 certificate if mandatory.,To be confirm after the compliance the test,IEC 62909-1 stated in datasheet; IEC 61727/62116 certificates available
International Standards,60,BESS system,IEC 62933 series,Complied,Applicable for BESS not for PCS,NA,Not specified in datasheet,Not applicable for PCS alone,NA,Complied,To be confirm after the compliance the test,NA – no IEC 62933/system-level certificate in provided documents
International Standards,61,Environmental test,IEC 60068 series,Complie d,Complied,Complied,"IEC 60068-2-1,-2,-14,-30","IEC 60068-2-1, 2, 11, 14 & 30",complied,Complied,To be confirm after the compliance the test,IEC 60068-2-1/-2/-14/-30 certified
EMC,62,Emissions,IEC 61000-6-4 (industrial),Complied,Complied,Complied,EN 50530 / IEC 61727 / IEC 62116 (EMC per CE),Comply,complied,Complied,To be confirm after the compliance the test,EN IEC 61000-6-4:2019 certificate
EMC,63,Immunity,IEC 61000-6-2,Complied,Complied,Complied,CE Declaration of Conformity,Comply,complied,Complied,To be confirm after the compliance the test,EN IEC 61000-6-2:2019 certificate
EMC,64,Harmonics / flicker,IEC 61000-3 series,"NA, Complied as per CEA",NA,Complied with equivalent standard such as IEEE 519,Not specified in datasheet,CEA 2022 latest regulation,complied as per Latest CEA guidelines,Not available,To be confirm after the compliance the test,THDi <3%; IEEE 519 and CEA certification; no numerical flicker result provided
EMC,65,Surge,IEC 61000-4 series,Type I+II complied,Complied,Complied,Heavy duty (Type 1) surge protection option,CEA 2022 latest regulation,complied as per Latest CEA guidelines,Not available,To be confirm after the compliance the test,Lightning/surge protection stated; dedicated surge-test result not provided
Safety,66,Electrical safety,IEC 62109 / IEC 61010,Complied as per IEC 62477-1,Complied as per IEC62477-1,Complied with euivalent standard IEC 62477,IEC 62477-1,IEC 62909-1&2,complied as per IEC62477-1,Complied with IEC 62109,To be confirm after the compliance the test,IEC 62477-1 certificate
Safety,67,Emergency stop,Hardwired E-stop,Complied,Complied,Complied,Not specified in datasheet,Yes,complied,Complied,Compliant — Hardwired E-stop provided; AC breaker with shunt trip.,Not stated
Protection Functions,68,Over/under voltage,Mandatory,Complied,Complied,Complied,Grid monitoring / AC & DC over voltage: Yes,Yes,complied,Complied,Compliant — AC over/under-voltage and DC over-voltage protection included.,Yes
Protection Functions,69,Over/under frequency,Mandatory,Complied,Complied,Complied,Grid monitoring: Yes,Yes,complied,Complied,Compliant — AC over/under-frequency protection included.,Yes
Protection Functions,70,Overcurrent,Mandatory,Complied,Complied,Complied,AC & DC short circuit and over current: Yes,Yes,complied,Complied,"Compliant — AC overload, DC over-current and hardware-level OCP included.",Yes
Protection Functions,71,Anti-islanding,Mandatory,Complied,Complied,Complied,Anti-islanding: Yes,Yes,complied,Complied,Compliant — Anti-islanding with UL-compliant trip points.,Yes – anti-islanding protection
Protection Functions,72,Insulation,Continuous monitoring,Complied,Complied,Complied,Ground fault monitoring: Yes,Yes - Optional,complied,Complied,To be add and confirm in the V0.1 version— DC-side protection provided; continuous insulation monitoring,Yes – insulation detection
Protection Functions,73,Thermal / overload,Integrated,Complied,Complied,Complied,AC & DC over voltage and temperature: Yes,Yes,complied,Complied,Compliant — Over-temperature and AC overload / thermal protection integrated.,Yes – over-temperature and overload protection
Control Functions,74,P/Q control,Four-quadrant,Complied,Complied,Complied,Four quadrant P/Q,Yes,complied,Complied,Compliant — Four-quadrant P/Q control (per PQ curve).,Yes – active/reactive power control
Control Functions,75,Frequency-Watt,Droop & FFR,Complied,Complied,Complied,Power reduction / FRT,Yes,complied,Complied,Compliant — Frequency-Watt droop and FFR supported (UL 1741 SA).,Primary frequency control available; frequency-Watt terminology not explicit
Control Functions,76,Ramp control,Up/down configurable,Complied,Complied,Complied,Configurable (active power limitation),Yes,complied,Complied,Compliant — Configurable up/down ramp control.,Yes
Control Functions,77,Mode transition,Seamless GFL ↔ GFM,Complied,No seamless transission,Can be discussed during detailed engg.,Not specified in datasheet,160~200ms,complied,Complied,Compliant — GFL + GFM platform; seamless GFL<->GFM transition to be confirmed by test.,Grid-connected/island modes; charge/discharge conversion ≤20 ms
Power Quality,78,Current THD,< 3 % at rated,Complied,Complied,Complied,< 3 %,Yes,<3% at rated power,Complied,"Compliant — THDi < 3% at rated power (IEEE 1547, <5% TDD).",<3% at nominal/rated power
Power Quality,79,Individual harmonic,IEEE 519 limits,Complied,Complied as per CEA,Complied,Not specified in datasheet,CEA 2022 latest regulation,complied,Complied,Compliant — IEEE 519 harmonic limits listed in certifications.,IEEE 519 certificate; individual harmonic values not stated
Power Quality,80,Flicker,Within IEC limits,Complied,Complied,Complied,Not specified in datasheet,Yes,complied as per Latest CEA guidelines,Complied with EN 50549-2 and EN 50549-10,Compliant,CEA/IEEE certification supplied; numerical flicker result not stated
Power Quality,81,Voltage unbalance,Managed,,No,Complied,Not specified in datasheet,Yes,complied as per Latest CEA guidelines,±10%,Compliant,<2% voltage unbalance factor in off-grid operation
Reliability,82,MTBF,Documented,Will submitt,Will be shared up on receipt of order,Document will be shared during detailed engg.,Not specified in datasheet,Yes,kindly refer report for MTBF,Complied,Compliant,NA – MTBF not stated
Reliability,83,MTTR,Documented,Will submitt,Will be shared up on receipt of order,Document will be shared during detailed engg.,Not specified in datasheet,Yes,NA,Complied,Compliant,NA – MTTR not stated
Reliability,84,Component derating,Documented margins,Document Attached,"Cannot be shared, confidential",Document will be shared during detailed engg.,Not specified in datasheet,DDE,can be shared later,Not available,Compliant,Ambient/altitude derating stated; component-specific derating not stated
Testing Regime,85,Type test,Documented,Attached,Complied,Document will be shared during detailed engg.,Not specified in datasheet,Yes,complied,Complied,In-Progress,Yes – multiple product certificates
Testing Regime,86,Routine test,Documented,Attached,Complied,Document will be shared during detailed engg.,Not specified in datasheet,Yes,complied,Complied,In-Progress,Not stated
Testing Regime,87,FAT,Pre-shipment,Will submitt,Complied,Complied,Not specified in datasheet,Yes,complied,Complied,In-Progress,Not stated
Testing Regime,88,SAT,Post-install,Will submitt,SAT as per Hoymiles SAT procedure,Complied,Not specified in datasheet,Yes,complied,Complied,In-Progress,Not stated
Testing Regime,89,Grid-code test,Compliance,CEA certification attached,Reports will be shared,Complied,Not specified in datasheet,Yes,complied,Complied,In-Progress,Yes – CEA certification testing
Warranty & Service,90,Standard warranty,≥ 5 years,Standard 5 years ectended up to 20 years,Will be discussed during commercials,Standard warranty 5 years,Warranty extensions available,5 Years,standard 5 years of warranty,Complied,Compliant,Not stated
Software / Firmware / OTA,91,Control APIs,"Documented, versioned",For SCAD & EMS control we have the Modbus register map,Modbus mapping details of PCS will be shared,Will be shared during detailed engg.,Modbus/Profinet/Ethernet IP; remote monitoring,DDE,Kindly refer MODBUS communication document which will be shared later,,In-Progress,PSSE/PSCAD control interfaces supplied; API/Modbus detail document not included in provided files
Software / Firmware / OTA,92,OTA channel,authenticated,Yes,Not available,Will be shared during detailed engg.,Remote monitoring available,DDE,complied,,In-Progress,Not stated
,0,,,,,,,,,,,
