Category,Subcategory,Parameter,Parameter_ID,Unit,Requirement,Requirement_Min,Requirement_Max,Preferred_Value,Comparison_Type,Weight,Critical,Vendor,Model,Vendor_Value,Test_Condition,Source,Source_Date,Remarks
Basic Configuration,Config,Transformer Requirement,P009,,,,,,Text,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
Basic Configuration,Config,Transformer Requirement,P009,,,,,,Text,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
Basic Configuration,Config,Transformer Requirement,P009,,,,,,Text,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
Basic Configuration,Config,Transformer Integrated,P010,,,,,,Boolean,1,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Transformer Integrated,P010,,,,,,Boolean,1,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Transformer Integrated,P010,,,,,,Boolean,1,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Cooling,Cooling Type,P011,,Liquid/Forced air,,,,Text,3,NO,DemoVolt PCS-A,DV-2500-L,Liquid,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Cooling,Cooling Type,P011,,Liquid/Forced air,,,,Text,3,NO,GridCore PCS-B,GC-2500-A,Forced air,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Cooling,Cooling Type,P011,,Liquid/Forced air,,,,Text,3,NO,PowerStack PCS-C,PS-2200-L,Liquid,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Enclosure,IP Rating,P012,IP,≥ 54,54,,65,Higher_Better,4,NO,DemoVolt PCS-A,DV-2500-L,65,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Enclosure,IP Rating,P012,IP,≥ 54,54,,65,Higher_Better,4,NO,GridCore PCS-B,GC-2500-A,66,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Enclosure,IP Rating,P012,IP,≥ 54,54,,65,Higher_Better,4,NO,PowerStack PCS-C,PS-2200-L,54,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Install,Installation Type,P013,,,,,,Text,1,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
Basic Configuration,Install,Installation Type,P013,,,,,,Text,1,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
Basic Configuration,Install,Installation Type,P013,,,,,,Text,1,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
Basic Configuration,Install,Indoor/Outdoor,P014,,Outdoor,,,,Text,2,NO,DemoVolt PCS-A,DV-2500-L,Outdoor,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Install,Indoor/Outdoor,P014,,Outdoor,,,,Text,2,NO,GridCore PCS-B,GC-2500-A,Outdoor,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Install,Indoor/Outdoor,P014,,Outdoor,,,,Text,2,NO,PowerStack PCS-C,PS-2200-L,Outdoor,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,Minimum DC Voltage,P015,V,≤ 1000,,1000,,Lower_Better,4,YES,DemoVolt PCS-A,DV-2500-L,1000,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,Minimum DC Voltage,P015,V,≤ 1000,,1000,,Lower_Better,4,YES,GridCore PCS-B,GC-2500-A,950,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,Minimum DC Voltage,P015,V,≤ 1000,,1000,,Lower_Better,4,YES,PowerStack PCS-C,PS-2200-L,1100,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,Nominal DC Voltage,P016,V,,,,,Range,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Voltage,Nominal DC Voltage,P016,V,,,,,Range,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Voltage,Nominal DC Voltage,P016,V,,,,,Range,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Voltage,Maximum DC Voltage,P017,V,≥ 1500,1500,,1500,Higher_Better,4,YES,DemoVolt PCS-A,DV-2500-L,1500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,Maximum DC Voltage,P017,V,≥ 1500,1500,,1500,Higher_Better,4,YES,GridCore PCS-B,GC-2500-A,1500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,Maximum DC Voltage,P017,V,≥ 1500,1500,,1500,Higher_Better,4,YES,PowerStack PCS-C,PS-2200-L,1500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,DC Operating Voltage Range,P018,V,1000-1500,1000,1500,,Range,5,YES,DemoVolt PCS-A,DV-2500-L,1000-1500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,DC Operating Voltage Range,P018,V,1000-1500,1000,1500,,Range,5,YES,GridCore PCS-B,GC-2500-A,950-1500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Voltage,DC Operating Voltage Range,P018,V,1000-1500,1000,1500,,Range,5,YES,PowerStack PCS-C,PS-2200-L,1100-1500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Current,Rated DC Current,P019,A,,,,,Higher_Better,3,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Current,Rated DC Current,P019,A,,,,,Higher_Better,3,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Current,Rated DC Current,P019,A,,,,,Higher_Better,3,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Current,Maximum DC Current,P020,A,,,,,Higher_Better,3,YES,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Current,Maximum DC Current,P020,A,,,,,Higher_Better,3,YES,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Current,Maximum DC Current,P020,A,,,,,Higher_Better,3,YES,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Current,Continuous DC Current,P021,A,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Current,Continuous DC Current,P021,A,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Current,Continuous DC Current,P021,A,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Current,DC Overload Current,P022,A,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Current,DC Overload Current,P022,A,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Current,DC Overload Current,P022,A,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Quality,DC Ripple Current,P023,%,≤ 3,,3,,Lower_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Quality,DC Ripple Current,P023,%,≤ 3,,3,,Lower_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Quality,DC Ripple Current,P023,%,≤ 3,,3,,Lower_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Accuracy,DC Voltage Accuracy,P024,%,≤ 1,,1,,Lower_Better,1,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Accuracy,DC Voltage Accuracy,P024,%,≤ 1,,1,,Lower_Better,1,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Accuracy,DC Voltage Accuracy,P024,%,≤ 1,,1,,Lower_Better,1,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Accuracy,DC Current Accuracy,P025,%,≤ 1,,1,,Lower_Better,1,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
DC Electrical,Accuracy,DC Current Accuracy,P025,%,≤ 1,,1,,Lower_Better,1,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
DC Electrical,Accuracy,DC Current Accuracy,P025,%,≤ 1,,1,,Lower_Better,1,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
DC Electrical,Protection,DC Isolation,P026,,YES,,,,Boolean,2,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Isolation,P026,,YES,,,,Boolean,2,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Isolation,P026,,YES,,,,Boolean,2,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Insulation Monitoring,P027,,YES,,,,Boolean,3,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Insulation Monitoring,P027,,YES,,,,Boolean,3,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Insulation Monitoring,P027,,YES,,,,Boolean,3,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Reverse Polarity Protection,P028,,YES,,,,Boolean,3,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Reverse Polarity Protection,P028,,YES,,,,Boolean,3,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Reverse Polarity Protection,P028,,YES,,,,Boolean,3,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Contactor,P029,,YES,,,,Boolean,2,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Contactor,P029,,YES,,,,Boolean,2,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Contactor,P029,,YES,,,,Boolean,2,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Pre-charge Function,P030,,YES,,,,Boolean,2,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Pre-charge Function,P030,,YES,,,,Boolean,2,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Pre-charge Function,P030,,YES,,,,Boolean,2,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Fuse,P031,,YES,,,,Boolean,1,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Fuse,P031,,YES,,,,Boolean,1,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,DC Fuse,P031,,YES,,,,Boolean,1,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Ground Fault Detection,P032,,YES,,,,Boolean,3,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Ground Fault Detection,P032,,YES,,,,Boolean,3,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
DC Electrical,Protection,Ground Fault Detection,P032,,YES,,,,Boolean,3,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Power,Rated AC Power,P033,kVA,≥ 2500,2500,,,Higher_Better,5,YES,DemoVolt PCS-A,DV-2500-L,2500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Power,Rated AC Power,P033,kVA,≥ 2500,2500,,,Higher_Better,5,YES,GridCore PCS-B,GC-2500-A,2500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Power,Rated AC Power,P033,kVA,≥ 2500,2500,,,Higher_Better,5,YES,PowerStack PCS-C,PS-2200-L,2200,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Power,Maximum AC Power,P034,kVA,,,,,Higher_Better,3,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Power,Maximum AC Power,P034,kVA,,,,,Higher_Better,3,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Power,Maximum AC Power,P034,kVA,,,,,Higher_Better,3,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Voltage,AC Voltage,P035,V,690,,,,Range,4,YES,DemoVolt PCS-A,DV-2500-L,690,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Voltage,AC Voltage,P035,V,690,,,,Range,4,YES,GridCore PCS-B,GC-2500-A,690,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Voltage,AC Voltage,P035,V,690,,,,Range,4,YES,PowerStack PCS-C,PS-2200-L,690,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Voltage,AC Voltage Range,P036,V,,,,,Range,3,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Voltage,AC Voltage Range,P036,V,,,,,Range,3,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Voltage,AC Voltage Range,P036,V,,,,,Range,3,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Freq,AC Frequency,P037,Hz,50,,,,Range,3,NO,DemoVolt PCS-A,DV-2500-L,50,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Freq,AC Frequency,P037,Hz,50,,,,Range,3,NO,GridCore PCS-B,GC-2500-A,50,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Freq,AC Frequency,P037,Hz,50,,,,Range,3,NO,PowerStack PCS-C,PS-2200-L,50,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Freq,Frequency Range,P038,Hz,47.5-51.5,,,,Range,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Freq,Frequency Range,P038,Hz,47.5-51.5,,,,Range,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Freq,Frequency Range,P038,Hz,47.5-51.5,,,,Range,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Current,Rated AC Current,P039,A,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Current,Rated AC Current,P039,A,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Current,Rated AC Current,P039,A,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Current,Maximum AC Current,P040,A,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Current,Maximum AC Current,P040,A,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Current,Maximum AC Current,P040,A,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,PF,Power Factor Range,P041,,-1 to +1,,,,Range,3,NO,DemoVolt PCS-A,DV-2500-L,-1 to +1,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,PF,Power Factor Range,P041,,-1 to +1,,,,Range,3,NO,GridCore PCS-B,GC-2500-A,-1 to +1,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,PF,Power Factor Range,P041,,-1 to +1,,,,Range,3,NO,PowerStack PCS-C,PS-2200-L,-0.9 to +0.9,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Reactive,Reactive Power,P042,kVAr,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Reactive,Reactive Power,P042,kVAr,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Reactive,Reactive Power,P042,kVAr,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Reactive,Reactive Power at Rated Power,P043,kVAr,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Reactive,Reactive Power at Rated Power,P043,kVAr,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Reactive,Reactive Power at Rated Power,P043,kVAr,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Quality,THDi,P044,%,≤ 3,,3,2,Lower_Better,4,NO,DemoVolt PCS-A,DV-2500-L,2.1,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Quality,THDi,P044,%,≤ 3,,3,2,Lower_Better,4,NO,GridCore PCS-B,GC-2500-A,2.5,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Quality,THDi,P044,%,≤ 3,,3,2,Lower_Better,4,NO,PowerStack PCS-C,PS-2200-L,3.2,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Quality,DC Injection,P045,%,≤ 0.5,,0.5,,Lower_Better,2,NO,DemoVolt PCS-A,DV-2500-L,0.3,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Quality,DC Injection,P045,%,≤ 0.5,,0.5,,Lower_Better,2,NO,GridCore PCS-B,GC-2500-A,0.4,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Quality,DC Injection,P045,%,≤ 0.5,,0.5,,Lower_Better,2,NO,PowerStack PCS-C,PS-2200-L,0.5,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Quality,AC Voltage THD,P046,%,≤ 3,,3,,Lower_Better,2,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Quality,AC Voltage THD,P046,%,≤ 3,,3,,Lower_Better,2,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Quality,AC Voltage THD,P046,%,≤ 3,,3,,Lower_Better,2,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
AC Electrical,Config,Three Phase,P047,,YES,,,,Boolean,1,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Config,Three Phase,P047,,YES,,,,Boolean,1,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Config,Three Phase,P047,,YES,,,,Boolean,1,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
AC Electrical,Config,Grid Connection Type,P048,,,,,,Text,1,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
AC Electrical,Config,Grid Connection Type,P048,,,,,,Text,1,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
AC Electrical,Config,Grid Connection Type,P048,,,,,,Text,1,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
Performance & Efficiency,Efficiency,Maximum Efficiency,P049,%,≥ 99,99,,99,Higher_Better,5,NO,DemoVolt PCS-A,DV-2500-L,99,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Maximum Efficiency,P049,%,≥ 99,99,,99,Higher_Better,5,NO,GridCore PCS-B,GC-2500-A,98.8,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Maximum Efficiency,P049,%,≥ 99,99,,99,Higher_Better,5,NO,PowerStack PCS-C,PS-2200-L,98.5,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 10% Load,P050,%,,,,,Higher_Better,1,NO,DemoVolt PCS-A,DV-2500-L,97.5,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 10% Load,P050,%,,,,,Higher_Better,1,NO,GridCore PCS-B,GC-2500-A,97,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 10% Load,P050,%,,,,,Higher_Better,1,NO,PowerStack PCS-C,PS-2200-L,96.5,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 25% Load,P051,%,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,98.5,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 25% Load,P051,%,,,,,Higher_Better,2,NO,GridCore PCS-B,GC-2500-A,98.2,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 25% Load,P051,%,,,,,Higher_Better,2,NO,PowerStack PCS-C,PS-2200-L,97.8,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 50% Load,P052,%,≥ 98,98,,,Higher_Better,4,NO,DemoVolt PCS-A,DV-2500-L,99,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 50% Load,P052,%,≥ 98,98,,,Higher_Better,4,NO,GridCore PCS-B,GC-2500-A,98.7,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 50% Load,P052,%,≥ 98,98,,,Higher_Better,4,NO,PowerStack PCS-C,PS-2200-L,98.2,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
Performance & Efficiency,Efficiency,Efficiency @ 75% Load,P053,%,,,,,Higher_Better,2,NO,DemoVolt PCS-A,DV-2500-L,98.9,"50% load, 1250Vdc, 25°C",Sample/Demo,8/1/2026,DEMO DATA — not real specs
